date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2025-01-09,BA,17,171.4,2919.92,2.9219,0.0,Risk Assets,1,false
2025-01-09,GOOGL,15,191.37,2909.25,2.9112,0.0,Risk Assets,1,false
2025-01-09,DAI,3000,1.0,2999.7,3.0017,0.0,High Beta,1,false
2025-01-09,AAPL,12,243.36,2912.4,2.9144,0.0,Risk Assets,1,false
2025-01-09,DIS,27,111.37,2963.52,2.9655,0.0,Risk Assets,1,false
2025-01-10,SPHB,33,89.17,2937.33,2.9698,0.0,High Beta,1,false
2025-01-10,PFE,112,26.7,2992.64,3.0258,0.0,Risk Assets,1,false
2025-01-10,TSLA,7,381.48,2763.18,2.7938,0.0,Risk Assets,1,false
2025-01-10,SOL,14,208.1,2626.82,2.6559,0.0,Unknown,1,false
2025-01-10,RKLB,120,25.02,3229.2,3.2649,0.0,Risk Assets,1,false
2025-01-10,CSCO,50,58.84,2937.0,2.9695,0.0,Risk Assets,1,false
2025-01-10,COST,3,914.33,2810.82,2.8419,0.0,Risk Assets,1,false
2025-01-10,NOW,2,1059.3,2049.14,2.0718,0.0,Risk Assets,1,false
2025-01-10,CRM,9,332.1,2860.65,2.8923,0.0,Unknown,1,false
2025-01-10,CRWD,8,349.23,2790.72,2.8216,0.0,Risk Assets,1,false
2025-01-10,NVDA,21,140.01,2854.11,2.8857,0.0,Risk Assets,1,false
2025-01-10,AMT,16,181.25,2775.36,2.8061,0.0,Risk Assets,1,false
2025-01-10,XLY,22,222.64,4858.04,4.9118,0.0,Cyclicals,1,false
2025-01-10,WMT,33,90.15,3069.0,3.103,0.0,Risk Assets,1,false
2025-01-10,MSFT,7,421.08,2932.65,2.9651,0.0,Risk Assets,1,false
2025-01-10,CME,12,231.64,2750.4,2.7808,0.0,Risk Assets,1,false
2025-01-10,COP,29,100.62,2955.68,2.9884,0.0,Risk Assets,1,false
2025-01-10,KO,48,61.9,2931.36,2.9638,0.0,Risk Assets,1,false
2025-01-10,APH,43,69.45,3018.6,3.052,0.0,Risk Assets,1,false
2025-01-10,JPM,12,243.89,2878.44,2.9103,0.0,Risk Assets,1,false
2025-01-10,MA,5,522.53,2523.35,2.5513,0.0,Risk Assets,1,false
2025-01-10,AVGO,12,233.59,2691.72,2.7215,0.0,Risk Assets,1,false
2025-01-10,ANET,26,112.48,2972.84,3.0057,0.0,Risk Assets,1,false
2025-01-10,LOW,12,248.12,2974.8,3.0077,0.0,Risk Assets,1,false
2025-01-10,GOOG,15,192.72,2897.55,2.9296,0.0,Risk Assets,1,false
2025-01-10,XRP,1249,2.4,2924.28,2.9566,0.0,Unknown,1,false
2025-01-10,AMZN,13,222.5,2846.22,2.8777,0.0,Risk Assets,1,false
2025-01-10,NFLX,3,893.13,2513.07,2.5409,0.0,Risk Assets,1,false
2025-01-10,HON,13,225.98,2836.47,2.8679,0.0,Risk Assets,1,false
2025-01-10,BA,17,171.4,2924.0,2.9564,0.0,Risk Assets,1,false
2025-01-10,GOOGL,15,191.37,2880.6,2.9125,0.0,Risk Assets,1,false
2025-01-10,DAI,3000,1.0,3000.0,3.0332,0.0,High Beta,1,false
2025-01-10,AAPL,12,243.36,2842.2,2.8737,0.0,Risk Assets,1,false
2025-01-10,DIS,27,111.37,2933.55,2.966,0.0,Risk Assets,1,false
2025-01-11,SPHB,33,89.17,2937.33,2.9609,0.0,High Beta,1,false
